time,obs,obs_id,id
29.5,5.49861682902324,1,5
30,5.73112027745249,1,5
0,5.74378124035768,1,6
0.5,6.24524968389428,1,6
1,6.59778431948001,1,6
1.5,6.64480624998794,1,6
2,6.09346201062153,1,6
2.5,6.79451869458572,1,6
3,6.79805600560656,1,6
3.5,6.45207816754547,1,6
4,6.6426562484892,1,6
4.5,6.57842502717726,1,6
5,7.0137903272198,1,6
5.5,6.81046625564125,1,6
6,6.6584112203458,1,6
6.5,6.25087246640604,1,6
7,6.69278613900679,1,6
7.5,6.55741083389777,1,6
8,6.81917303428132,1,6
8.5,6.59807836556497,1,6
9,6.16907403401197,1,6
9.5,6.71336975308901,1,6
10,6.43845023406974,1,6
10.5,6.07124030954117,1,6
11,6.36231792299499,1,6
11.5,6.3894270105239,1,6
12,6.13423372813295,1,6
12.5,6.43211630148909,1,6
13,6.04666098454592,1,6
13.5,6.22918036354786,1,6
14,6.23245970144767,1,6
14.5,6.11130345126976,1,6
15,6.22894825711057,1,6
15.5,6.1278478837575,1,6
16,6.15905101201668,1,6
16.5,5.94832625720329,1,6
17,5.86066543918019,1,6
17.5,5.72914625708689,1,6
18,6.26617117208589,1,6
18.5,5.94536064620127,1,6
19,5.92489423553499,1,6
19.5,6.07641732802315,1,6
20,5.52635447040841,1,6
20.5,5.74382343357623,1,6
21,5.07891612133037,1,6
21.5,5.65406348443861,1,6
22,5.49500508543625,1,6
22.5,5.59157884935842,1,6
23,5.54505271433304,1,6
23.5,5.63224642168124,1,6
24,5.35536905696117,1,6
24.5,5.36171469213434,1,6
25,5.51922885255179,1,6
25.5,5.58680202974465,1,6
26,5.51224654435405,1,6
26.5,5.00918249874165,1,6
27,5.24315338725142,1,6
27.5,5.50040530639896,1,6
28,5.22515718019634,1,6
28.5,5.2417272760036,1,6
29,5.13310468847547,1,6
29.5,5.06185200311133,1,6
30,5.45272195207709,1,6
0,6.13119087966964,1,7
0.5,6.67952843880539,1,7
1,6.6100651094698,1,7
1.5,6.99998235401176,1,7
2,7.06727442463027,1,7
2.5,6.82985396551964,1,7
3,6.83813232000931,1,7
3.5,6.78264678424522,1,7
4,7.02748162465352,1,7
4.5,7.16168633687952,1,7
5,6.8217495448215,1,7
5.5,6.85361675467984,1,7
6,6.73079223868594,1,7
6.5,6.99019504572608,1,7
7,6.83958746736393,1,7
7.5,6.81786661951399,1,7
8,6.96978602968856,1,7
8.5,6.78687898691153,1,7
9,6.87887255471656,1,7
9.5,6.66590095673596,1,7
10,6.70811903965574,1,7
10.5,6.9050444984291,1,7
11,6.46699002539223,1,7
11.5,6.67661398887314,1,7
12,6.44067455335598,1,7
