"time","obs","obs_id","id"
13.5,6.03575331300559,1,9
14,5.80952179149911,1,9
14.5,6.24830372216926,1,9
15,6.09149203518421,1,9
15.5,6.35379522594246,1,9
16,6.32424433637567,1,9
16.5,5.8975188130702,1,9
17,5.72150955951204,1,9
17.5,6.14282932083726,1,9
18,5.76224877732275,1,9
18.5,5.49330009411787,1,9
19,5.76488506914393,1,9
19.5,5.98754428189645,1,9
20,5.75055985072948,1,9
20.5,5.852310458988,1,9
21,5.69304790468209,1,9
21.5,5.59044001310881,1,9
22,6.00847861159788,1,9
22.5,5.4149343242883,1,9
23,5.28528900062166,1,9
23.5,5.93254996585039,1,9
24,5.83807706192804,1,9
24.5,5.5572270314628,1,9
25,5.58412159605948,1,9
25.5,5.40779600027626,1,9
26,5.29743354852219,1,9
26.5,5.36718728773268,1,9
27,5.05758607695433,1,9
27.5,5.38715099594416,1,9
28,5.53200652727705,1,9
28.5,5.32646087506872,1,9
29,5.40024813912172,1,9
29.5,5.00533449838321,1,9
30,4.65204381690154,1,9
0,2.0903272838525,1,10
0.5,5.81641138101809,1,10
1,6.08795221868712,1,10
1.5,6.52604506581452,1,10
2,6.24438546344125,1,10
2.5,6.41195807954959,1,10
3,6.2379644922988,1,10
3.5,6.34411419976788,1,10
4,6.22603056029593,1,10
4.5,6.95747390302765,1,10
5,6.92021922571828,1,10
5.5,6.6409290878264,1,10
6,6.32786643581294,1,10
6.5,6.59471163383475,1,10
7,6.39325808075262,1,10
7.5,6.57168077655659,1,10
8,6.72299697452375,1,10
8.5,6.8281975110075,1,10
9,6.88473426239386,1,10
9.5,6.191163987823,1,10
10,6.22478706577046,1,10
10.5,6.53731017240441,1,10
11,6.22526473994755,1,10
11.5,6.39539338168982,1,10
12,6.45638826568303,1,10
12.5,6.04203558103075,1,10
13,6.15046726141899,1,10
13.5,6.31169760299859,1,10
14,6.59319273541246,1,10
14.5,6.19427390471695,1,10
15,6.087475850945,1,10
15.5,6.39418229042942,1,10
16,5.96900552117893,1,10
16.5,6.20047579575922,1,10
17,6.43742256520855,1,10
17.5,6.08446056598675,1,10
18,5.99808339931385,1,10
18.5,5.79113524300285,1,10
19,6.15890145068346,1,10
19.5,6.04290440084179,1,10
20,5.99336640224337,1,10
20.5,5.88030243235978,1,10
21,6.13399800883476,1,10
21.5,5.729661058298,1,10
22,5.68939715223331,1,10
22.5,5.96784573007605,1,10
23,6.18290545180219,1,10
23.5,6.09163695025178,1,10
24,6.27486360911892,1,10
24.5,6.18084202659577,1,10
25,5.70782465688768,1,10
25.5,6.46519829426412,1,10
26,5.7394618661344,1,10
26.5,5.85484626829662,1,10
27,5.69681547805289,1,10
27.5,5.37896107016602,1,10
28,5.72292441580585,1,10
28.5,5.79264801038413,1,10
29,5.92857209823834,1,10
29.5,5.45620495112013,1,10
30,5.60837389944574,1,10
0,1.9433266777613,1,11
0.5,5.93813760972473,1,11
1,6.58048638547021,1,11
1.5,6.50661683216969,1,11
2,7.19749923708274,1,11
2.5,7.12169842526135,1,11
3,7.36073702970732,1,11
3.5,7.70903181687567,1,11
4,7.5188580600429,1,11
4.5,7.09550298819538,1,11
5,7.49075881788289,1,11
5.5,7.4498691068166,1,11
6,7.55297199342977,1,11
6.5,7.46405226906791,1,11
7,7.15149358328109,1,11
7.5,7.36760588493828,1,11
8,7.15596877012564,1,11
8.5,7.22059779220501,1,11
9,7.16001081884067,1,11
9.5,7.41098605868678,1,11
10,7.44560909045204,1,11
10.5,6.98652862259797,1,11
11,7.15446659375003,1,11
11.5,7.11511837199615,1,11
12,7.39374023518737,1,11
12.5,7.1919086407165,1,11
13,6.94192604701227,1,11
13.5,7.18138563108895,1,11
14,6.60517476346285,1,11
14.5,6.48708797093879,1,11
15,6.66809514195438,1,11
15.5,6.87818044231614,1,11
16,6.83367414083395,1,11
16.5,6.69094240727832,1,11
17,6.64355845058827,1,11
17.5,6.60432774234609,1,11
18,6.69879978274821,1,11
18.5,6.91092324332495,1,11
19,6.32537377698849,1,11
19.5,6.26752961028874,1,11
20,6.69769434015751,1,11
20.5,6.40770658718882,1,11
21,6.31304476823709,1,11
21.5,6.44974815796994,1,11
22,6.34524154433158,1,11
22.5,6.43760879080078,1,11
23,6.37226167451178,1,11
23.5,6.2590659870887,1,11
24,6.20333146487924,1,11
24.5,6.26587165772219,1,11
25,5.81798831607018,1,11
25.5,5.94611148528771,1,11
26,6.37827632230274,1,11
26.5,5.75583447632487,1,11
27,5.82159664854048,1,11
27.5,5.81291128344342,1,11
28,5.7825532718135,1,11
28.5,5.95728832132486,1,11
29,5.41208301354356,1,11
29.5,5.58989707301143,1,11
30,5.33798556214732,1,11
0,2.04153101564687,1,12
0.5,6.05811677619303,1,12
1,6.34472416518377,1,12
1.5,6.47034419832521,1,12
2,6.95927235149445,1,12
2.5,7.01062335714787,1,12
3,7.1601446604525,1,12
3.5,6.97115239887854,1,12
4,7.00745426657583,1,12
4.5,6.95358521762149,1,12
5,7.01500942042282,1,12
5.5,7.15500570002027,1,12
6,6.87168621176885,1,12
6.5,6.85523207946923,1,12
7,6.8343010008752,1,12
7.5,7.22348003327225,1,12
8,7.03067421475936,1,12
8.5,7.11332737418392,1,12
9,7.12204827306204,1,12
9.5,6.93645402098909,1,12
10,6.86560135662111,1,12
10.5,6.9691347319941,1,12
11,6.74966653931234,1,12
11.5,6.93117870244469,1,12
12,6.6926263649521,1,12
12.5,6.62861254714158,1,12
13,6.53418596848842,1,12
13.5,6.91090464331147,1,12
14,6.32050484499142,1,12
14.5,6.90233540145982,1,12
15,6.5389055211769,1,12
15.5,6.96655523769985,1,12
16,6.78030612327836,1,12
16.5,6.25782987168797,1,12
17,6.46134409124034,1,12
17.5,6.34720480740414,1,12
18,6.40160635185135,1,12
18.5,6.4792038959339,1,12
19,6.58192185427398,1,12
19.5,6.55470908607098,1,12
20,6.50872187936153,1,12
20.5,6.62201103610174,1,12
21,6.16955886005514,1,12
21.5,6.22970002947268,1,12
22,6.22046213002796,1,12
22.5,6.18030833686069,1,12
23,6.03047532934331,1,12
23.5,6.14547759041037,1,12
24,6.0442518583284,1,12
24.5,6.23256716846077,1,12
25,5.95166557074743,1,12
25.5,6.36468262395836,1,12
26,6.16000832107449,1,12
26.5,6.08507471505614,1,12
27,6.12635670788788,1,12
27.5,5.90553621130657,1,12
28,6.08824895740013,1,12
28.5,6.20786411511134,1,12
29,6.11416057463596,1,12
29.5,6.24568343737027,1,12
30,6.11962845986158,1,12
0,2.23185887433001,1,13
0.5,5.99899080388471,1,13
1,6.12061151110307,1,13
1.5,6.61500451539357,1,13
2,6.85575234245408,1,13
2.5,7.15530197158695,1,13
3,6.88330738342171,1,13
3.5,6.90466368494937,1,13
4,6.90307887699504,1,13
